commentary_id,form,exclude_count,boundary_insecure_count,continuation_fragment_count,segmented_fragment_count,complex_logogram_count,cross_script_count,source_override_count,reason_classes,evidence_text
16,SI-SE,1,0,0,0,1,0,0,complex_logogram,SI+SE {*529}
2,CAPM-KU,3,0,0,0,3,0,0,complex_logogram,CAPM + KU || CAPM+KU {*513}
2,DU-RI,1,1,0,0,0,0,0,physical_boundary,B.1 OVISF 1 [ B.2 ]-DU-RI CAPM 1 B.2 TU-[ B.3
2,OVISM-SI-AU-RE,1,0,0,0,1,0,0,complex_logogram,OVISM SI+AU[-RE
2,PA-TA-DA,1,1,0,0,0,0,0,physical_boundary,NU SI+AU-RE 1 A.3-4 PA-TA-DA[ ] 1 A.4 KU-RO CAPM
2,SI-AU-RE,1,0,0,0,1,0,0,complex_logogram,SI+AU-RE
APZA2,I-KU-PA,2,2,0,0,0,0,0,physical_boundary,-MA [ • • • • • • ] I-KU-PA 3-NA-TU-NA-TE [ .2: || : GORILA PERHAPS: ] I-KU-PA 3-NA-TU-NA-TE[. CF.
APZA2,I-NA-JA-RE-TA,3,3,0,0,0,0,0,physical_boundary,.2: ]PI-MI-NA-TE • I-NA-JA-RE-TA [ • • • ]-QA • .1: || 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]QA • : 1. INVOCA || 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]QA • COMMENTARY
APZA2,I-PI-NA-MA,1,1,0,0,0,0,0,physical_boundary,LM I]) .1: ]NA-SI • I-PI-NA-MA [ • • • • • • ] I-K
APZA2,NA-SI,3,3,0,0,0,0,0,physical_boundary,[MM III-LM I]) .1: ]NA-SI • I-PI-NA-MA [ • • || A-SA-RA U-NA-RU-KA-]NA-SI • : 2. I-]PI-MI-NA-
APZA2,NA-TU-NA-TE,4,4,0,0,0,0,0,physical_boundary,• • • • ] I-KU-PA 3-NA-TU-NA-TE [ .2: ]PI-MI-NA-TE || ERHAPS: ] I-KU-PA 3-NA-TU-NA-TE[. CF. KU-PA3-NA-TU || PLACENAME]• KU-PA 3-NA-TU-NA-TE[ JA-SA-SA-RA U-NA-R
APZA2,PI-MI,1,1,0,0,0,0,0,physical_boundary,-2; HT 119.3). .2: ]PI-MI OVER [[ ]]. JGY: IF
APZA2,PI-MI-NA-TE,3,3,0,0,0,0,0,physical_boundary,-NA-TU-NA-TE [ .2: ]PI-MI-NA-TE • I-NA-JA-RE-TA [ • || KA-]NA-SI • : 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]
ARKH1,A-PA,1,1,0,0,0,0,0,physical_boundary,8 [ A.5 ]NE 2 J A.5 A-PA-[ A.6 ]MI-KI-SA-NE[
ARKH1,A-RA,1,1,0,0,0,0,0,physical_boundary,.1 ]KI[ A.2 ] • A.2 A-RA[ A.3 DEEST A.4 ]A-S
ARKH1,A-SU-MI,1,1,0,0,0,0,0,physical_boundary,-RA[ A.3 DEEST A.4 ]A-SU-MI-* 118 [ A.5 ]NE 2 J
ARKH1,MI-KI-SA-NE,1,1,0,0,0,0,0,physical_boundary,2 J A.5 A-PA-[ A.6 ]MI-KI-SA-NE[ SUPRA MUTILA SEPAR
ARKH1,PA-RE,1,1,0,0,0,0,0,physical_boundary,MUTILA B.1 A[ B.1 ] PA-RE 3 [ B.2 ]PA 3 [ B.3
ARKH1,TA-PI,1,1,0,0,0,0,0,physical_boundary,UMBER FRACTION A.1 ]TA-PI • A.1 QA [ A.1 ]KI[
ARKH2,RU-MI,1,1,0,0,0,0,0,physical_boundary,5-6 A-SU-PU-WA 4 .6 RU-MI-[ .6 ] VEST. [
ARKH3,JA-PI,1,1,0,0,0,0,0,physical_boundary,2 [ A.6 ]KU 3 B.1 ]-JA-PI GRA 6 [ B.2 ]PI-PU
ARKH3,KA-NE,1,1,0,0,0,0,0,physical_boundary,"ER ""FRACTION"" A.1 ]-KA-NE GRA[ A.2 ]D A.2 OLI"
ARKH3,KI-NU,1,1,0,0,0,0,0,physical_boundary,.3 [[*317 2 ]] A.4 ]KI-NU GRA 13[ A.5 ] TE 2
ARKH3,PI-PU,1,1,0,0,0,0,0,physical_boundary,-JA-PI GRA 6 [ B.2 ]PI-PU 3 GRA 1 [ ] B.2 OLE
ARKH4,*47-TE,1,1,0,0,0,0,0,physical_boundary,U 4 A.3-4 DE-SU-[•]-*47-TE 5 A.4-5 PI-TI-NE-A-
ARKH4,DE-MI,1,1,0,0,0,0,0,physical_boundary,-RE 10 B.2 U [ B.3 ]DE-MI 10 B.3 I-*47[ ] 9 B
ARKH4,DE-SU,1,1,0,0,0,0,0,physical_boundary,A-[•]-•-JU 4 A.3-4 DE-SU-[•]-*47-TE 5 A.4-5
ARKH4,I-*47,1,1,0,0,0,0,0,physical_boundary,[ B.3 ]DE-MI 10 B.3 I-*47[ ] 9 B.4 A-KI-RO 3
ARKH4,NI-TA,1,1,0,0,0,0,0,physical_boundary,SUPRA MUTILA A.1 ]-NI-TA [ A.2 ]TA• RE 5 A.2
ARKH4,PI-TI-NE-A,1,0,1,0,0,0,0,editorial_continuation,PI-TI-NE-A-•[
ARKH4,ZA-SI-ZU,1,1,0,0,0,0,0,physical_boundary,9 B.4 A-KI-RO 3 B.5 ZA-SI-ZU [ ] 3 INFRA MUTILA
ARKH6,TE-RI,1,1,0,0,0,0,0,physical_boundary,NA-TU • .1 KU[ .2 ] TE-RI [ INFRA MUTILA
ARZF2,I-DA-MA-TE,1,1,0,0,0,0,0,physical_boundary,LVER AX AR SCRIBE 2 I-DA-MA-TE[ ARKHANES I ONCE LI
AS40+5093,NA-MA,1,1,0,0,0,0,0,physical_boundary,-KA-NA-[SI C: I-PI]-NA-MA SI-RU-[TE OWENS 199
AS40+5093,SI-RU,1,1,0,0,0,0,0,physical_boundary,-[SI C: I-PI]-NA-MA SI-RU-[TE OWENS 1994: 26
AS40+5093,U-NA-KA-NA,1,1,0,0,0,0,0,physical_boundary,B: JA-SA-SA-RA-ME • U-NA-KA-NA-[SI C: I-PI]-NA-MA
GO2,SE-SI,1,1,0,0,0,0,0,physical_boundary,V02. RE 1 [ ] V02. SE-SI[ V03. VEST. INF. MU
HM1367+1371,KA-NA,6,6,0,0,0,0,0,physical_boundary,U-PA-DI-DA J L2 B.4 KA-NA [ B.4-5 ]SI-DU A B. || I-DA J L2 B.4 • B.4 KA-NA[ B.4-5 ]SI-DU B.5 D
HM1367+1371,KI-RO,3,3,0,0,0,0,0,physical_boundary,OLIV 16 *308 4 A [ ]KI-RO J E A.6-7 DA-TU OLI
HM1367+1371,KU-RO,3,3,0,0,0,0,0,physical_boundary,3 J *308[[•]] A.8-9 KU-RO [ ] 2 5 H KI-RO 6 [
HM1367+1371,SI-DU,6,6,0,0,0,0,0,physical_boundary,B.4 KA-NA [ B.4-5 ]SI-DU A B.5 DU-MA-I-NA E || • B.4 KA-NA[ B.4-5 ]SI-DU B.5 DU-MA-I-NA E F 
HM1373+1375,A-DU,1,1,0,0,0,0,0,physical_boundary,_______________ A.3 A-DU-[••] OLE+KI {*618}
HM1373+1375,A-KU-TU-*361,1,1,0,0,0,0,0,physical_boundary,_______________ A.7 A-KU-TU-*361[ A.7 ]KI+[ ] 5 A.7
HM1373+1375,KO-A-DU-WA,1,1,0,0,0,0,0,physical_boundary,MI {*622} 2 [ A.6 ]KO-A-DU-WA OLE+[ ] 7 D _______
HM1373+1375,NE-KI,1,0,0,0,1,0,0,complex_logogram,NE KI+[ ]
HM1373+1375,OLE-KI,3,0,0,0,3,0,0,complex_logogram,OLE+KI {*618}
HM1373+1375,OLE-KI-ME,1,0,0,0,1,0,0,complex_logogram,OLE+KI+ME {*620}
HM1373+1375,OLE-KI-U,1,0,0,0,1,0,0,complex_logogram,OLE+KI+U {*619}
HM1373+1375,OLE-MI,4,0,0,0,4,0,0,complex_logogram,OLE+MI[ {*622} || OLE+ MI {*622} || OLE+MI {*622}
HM1373+1375,OLE-NE,1,0,0,0,1,0,0,complex_logogram,]OLE+ NE {*612}
HM1373+1375,OLE-OVISF,2,0,0,0,2,0,0,complex_logogram,OLE+OVISF {*611}
HM1373+1375,OLE-TU,1,0,0,0,1,0,0,complex_logogram,OLE+TU {*621}
HM1373+1375,OLE-U,3,0,0,0,3,0,0,complex_logogram,OLE+U {*610} || OLE+ U
HM1373+1375,PA-OLE-MI,1,0,0,0,1,0,0,complex_logogram,PA OLE +MI[
HM1373+1375,ZA-*321,1,1,0,0,0,0,0,physical_boundary,"ER ""FRACTION"" A.1 ] ZA-*321 OLE+KI {*618} 15 E"
HM1508+1521,DA-RA,1,1,0,0,0,0,0,physical_boundary,B.1 ] TA 1 L [ B.2 ]DA-RA L [ B.3 ] VINC L E
HM1508+1521,DI-PA-JA,1,1,0,0,0,0,0,physical_boundary,N SUPRA MUTILA A.1 ]DI-PA-JA[ A.2 ]U-DI-RI-KI[ A
HM1508+1521,JA-RU-MA-NE,1,1,0,0,0,0,0,physical_boundary,2 ]U-DI-RI-KI[ A.3 ]JA-RU-MA-NE[ A.4 ]JA-SI-DA-RA [
HM1508+1521,JA-SI-DA-RA,1,1,0,0,0,0,0,physical_boundary,]JA-RU-MA-NE[ A.4 ]JA-SI-DA-RA [ B.1 ] TA 1 L [ B.
HM1508+1521,U-DI-RI-KI,1,1,0,0,0,0,0,physical_boundary,A.1 ]DI-PA-JA[ A.2 ]U-DI-RI-KI[ A.3 ]JA-RU-MA-NE[
HM1617+1628,*34-JU-TE-MI,1,1,0,0,0,0,0,physical_boundary,WA-NA *171 19 A.1-2 *34-JU-TE-MI[ A.2 ] 1 80 A.3 I-S
HM1617+1628,GRA-PA,3,0,0,0,3,0,0,complex_logogram,GRA+PA {*574}[ || GRA+PA {*574}
HM1617+1628,I-MA,1,1,0,0,0,0,0,physical_boundary,__ B.4 PA-ZA-[ B.5 ]I-MA[ B.6-8 VACANT
HM1617+1628,I-SE,2,2,0,0,0,0,0,physical_boundary,-MI[ A.2 ] 1 80 A.3 I-SE [ A.3-4 ]OLIV 15 A. || 4 [ A.9 ] 20 A.9-10 I-SE-[• B.1 I-KU-JU-TI-I
HM1617+1628,PA-ZA,1,1,0,0,0,0,0,physical_boundary,_______________ B.4 PA-ZA-[ B.5 ]I-MA[ B.6-8
HM1617+1628,VINA-KA,1,0,0,0,1,0,0,complex_logogram,VINA +KA {*596}
HM1617+1628,VINA-RA,1,0,0,0,1,0,0,complex_logogram,VINA+RA {*594}
HM1631+1634,DA-RE-KU,1,1,0,0,0,0,0,physical_boundary,"MBER ""FRACTION"" A.1 DA-RE-KU[ ] VEST. • A.1 KU-*"
HM1631+1634,GRA-PA,1,0,0,0,1,0,0,complex_logogram,GRA+PA {*574}
HM1631+1634,OLE-KI,1,0,0,0,1,0,0,complex_logogram,OLE+KI {*618}
HM1637+1640,I-DA,1,1,0,0,0,0,0,physical_boundary,]* 118-MI[ ] 2 B.1 I-DA[ B.2 ]KI[ B.3 ] 2 B
HM1637+1640,PI-MU,1,1,0,0,0,0,0,physical_boundary,CTION A.1 ]ME[ A.2 ]PI-MU 40 [ A.3 ] VEST. [
HM1637+1640,SA-RI,1,1,0,0,0,0,0,physical_boundary,.2 ]KI[ B.3 ] 2 B.3 SA-RI [ B.4 ] VEST. [ B.5
HM1637+1640,TA-KE,1,1,0,0,0,0,0,physical_boundary,]MA[ A.4 ] TE 2 A.4 TA-KE [ A.5 ] VEST. [ A.6
HM1637+1640,TA-MA-PI,1,1,0,0,0,0,0,physical_boundary,[ A.6 ]PA+[?] 5 A.6 TA-MA-PI [ A.7 ] 3 A.7 A [ A
HM1641+11,DU-JU,1,1,0,0,0,0,0,physical_boundary,RA-[•] OVISF 1 [ .4 DU-JU [ 7 [ .5 OVISF 100
HM1668+1669,A-PA,1,1,0,0,0,0,0,physical_boundary,8 [ A.5 ]NE 2 J A.5 A-PA-[ A.6 ]MI-KI-SA-NE[
HM1668+1669,A-RA,1,1,0,0,0,0,0,physical_boundary,.1 ]KI[ A.2 ] • A.2 A-RA[ A.3 DEEST A.4 ]A-S
HM1668+1669,A-SU-MI,1,1,0,0,0,0,0,physical_boundary,-RA[ A.3 DEEST A.4 ]A-SU-MI-* 118 [ A.5 ]NE 2 J
HM1668+1669,MI-KI-SA-NE,1,1,0,0,0,0,0,physical_boundary,2 J A.5 A-PA-[ A.6 ]MI-KI-SA-NE[ SUPRA MUTILA SEPAR
HM1668+1669,PA-RE,1,1,0,0,0,0,0,physical_boundary,MUTILA B.1 A[ B.1 ] PA-RE 3 [ B.2 ]PA 3 [ B.3
HM1668+1669,TA-PI,1,1,0,0,0,0,0,physical_boundary,UMBER FRACTION A.1 ]TA-PI • A.1 QA [ A.1 ]KI[
HM2479+2480,I-KU-PA,4,4,0,0,0,0,0,physical_boundary,-MA [ • • • • • • ] I-KU-PA 3-NA-TU-NA-TE [ .2: || : GORILA PERHAPS: ] I-KU-PA 3-NA-TU-NA-TE[. CF.
HM2479+2480,I-NA-JA-RE-TA,5,5,0,0,0,0,0,physical_boundary,.2: ]PI-MI-NA-TE • I-NA-JA-RE-TA [ • • • ]-QA • .1: || 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]QA • : 1. INVOCA || 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]QA • COMMENTARY
HM2479+2480,I-PI-NA-MA,2,2,0,0,0,0,0,physical_boundary,LM I]) .1: ]NA-SI • I-PI-NA-MA [ • • • • • • ] I-K
HM2479+2480,NA-SI,5,5,0,0,0,0,0,physical_boundary,[MM III-LM I]) .1: ]NA-SI • I-PI-NA-MA [ • • || A-SA-RA U-NA-RU-KA-]NA-SI • : 2. I-]PI-MI-NA-
HM2479+2480,NA-TU-NA-TE,7,7,0,0,0,0,0,physical_boundary,• • • • ] I-KU-PA 3-NA-TU-NA-TE [ .2: ]PI-MI-NA-TE || ERHAPS: ] I-KU-PA 3-NA-TU-NA-TE[. CF. KU-PA3-NA-TU || PLACENAME]• KU-PA 3-NA-TU-NA-TE[ JA-SA-SA-RA U-NA-R
HM2479+2480,PI-MI,2,2,0,0,0,0,0,physical_boundary,-2; HT 119.3). .2: ]PI-MI OVER [[ ]]. JGY: IF
HM2479+2480,PI-MI-NA-TE,5,5,0,0,0,0,0,physical_boundary,-NA-TU-NA-TE [ .2: ]PI-MI-NA-TE • I-NA-JA-RE-TA [ • || KA-]NA-SI • : 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]
HM36+53,I-MI-SA-RA,1,1,0,0,0,0,0,physical_boundary,6 51 A.2 RE 20 A.3 ]I-MI-SA-RA 4 3 A.4 ]QE 21 A.4
HM36+53,KI-*310,1,1,0,0,0,0,0,physical_boundary,A.4 KI-DA-[ A.4-5 ]KI-*310 • KU-* 305 [ A.5 ]S
HM36+53,KI-DA,1,1,0,0,0,0,0,physical_boundary,4 3 A.4 ]QE 21 A.4 KI-DA-[ A.4-5 ]KI-*310 •
HM36+53,SA-RA-DI,1,1,0,0,0,0,0,physical_boundary,0 • KU-* 305 [ A.5 ]SA-RA-DI 5 A.6 VIR 42 A.7 KU
HM3825+3833,I-*301-WA-JA,1,1,0,0,0,0,0,physical_boundary,THE INTERIOR. A-TA-]I-*301-WA-JA • JA-JA[-•-]•-•[ CO
HM3825+3833,JA-JA,1,1,0,0,0,0,0,physical_boundary,-TA-]I-*301-WA-JA • JA-JA[-•-]•-•[ COMMENTARY
HM46+42,RE-TU,3,3,0,0,0,0,0,physical_boundary,2 .5 SU-DU[ .6-7 ]-RE-TU OLE+KI[ {*618} ]J E
HM46+42,SI-SE,3,0,0,0,3,0,0,complex_logogram,• SI+SE {*529} • TE •
HM46+42,SU-DU,3,3,0,0,0,0,0,physical_boundary,OLE+MI {*622} 2 .5 SU-DU[ .6-7 ]-RE-TU OLE+K
HM54+53,WI-JA-SU-MA-TI-TI-*319,1,1,0,0,0,0,0,physical_boundary,134-135+132-133) • WI-JA-SU-MA-TI-TI-*319 [ ] NE 1 NE 1 J *31
HT100,*304-PA,1,0,0,0,1,0,0,complex_logogram,*304+PA {*629}[
HT100,OLE-MI,1,0,0,0,1,0,0,complex_logogram,OLE+MI {*622}
HT100,OLE-NE,1,0,0,0,1,0,0,complex_logogram,OLE+NE {*612}
HT100,OLE-U,1,0,0,0,1,0,0,complex_logogram,OLE+U {*610}
HT100,TI-A,1,0,0,0,1,0,0,complex_logogram,TI+A {*523}
HT100,VIR-*313A,1,0,0,0,1,0,0,complex_logogram,VIR+*313A {*570}
HT100,VIR-KA,1,0,0,0,1,0,0,complex_logogram,]VIR+KA {*568}
HT101,DI-QE,1,0,0,0,1,0,0,complex_logogram,DI +QE {506}
HT101,GRA-QE,1,0,0,0,1,0,0,complex_logogram,GRA+QE {*578}
HT101,OLE-KI,2,0,0,0,2,0,0,complex_logogram,OLE+KI {* 618 } || OLE+KI {*618}
HT101,OLE-MI,1,0,0,0,1,0,0,complex_logogram,OLE+MI {*622}
HT101,OLE-U,2,0,0,0,2,0,0,complex_logogram,OLE+U {*610} || ] OLE +U {*610}
HT101,OLIV-TU,1,0,0,0,1,0,0,complex_logogram,OLIV+TU {*587}
HT102,GRA-PA,1,0,0,0,1,0,0,complex_logogram,GRA+PA {*574}
HT102,VIR-GRA-PA,1,0,0,0,1,0,0,complex_logogram,]VIR GRA+PA {*574}
HT103,DA-KU-SE-NE,1,1,0,0,0,0,0,physical_boundary,• FIC 40 .2 PA 3 .2 DA-KU-SE-NE[ ] 6 J .3 *188 13 .
HT104,TE-RO,1,0,0,0,1,0,0,complex_logogram,• TE+RO {*505} •
HT105,KA-PA,1,1,0,0,0,0,0,physical_boundary,NUMBER FRACTION .1 KA-PA[ .1 ] VEST. [ .2 ]V
HT108,GRA-H,1,0,0,0,1,0,0,complex_logogram,GRA+H {*583}
HT11,A-RU-RA,1,1,0,0,0,0,0,physical_boundary,MBER FRACTION A.1-2 A-RU-RA-[•] ]3 A.2 KA-RO-NA
HT11,DE-NU,1,1,0,0,0,0,0,physical_boundary,3 A.5 TA 2 15 B.1 ] DE-NU B.1 RU-RA 2 B.2 * 8
HT110,*303-E,1,0,0,0,1,0,0,complex_logogram,*303+ E {*626}
HT110,*400V-AS-RI,1,0,0,0,1,0,0,complex_logogram,*400VAS+ RI {*648}
HT111,QA-QA-RU,1,1,0,0,0,0,0,physical_boundary,8 A.2 QA-SA-[ A.3 ] QA-QA-RU 8 A.3 DI 1 4 [ A.4
HT111,QA-SA,1,1,0,0,0,0,0,physical_boundary,[ A.2 ]QE-KA 8 A.2 QA-SA-[ A.3 ] QA-QA-RU 8
HT111,QE-KA,1,1,0,0,0,0,0,physical_boundary,A.1 ] VEST. [ A.2 ]QE-KA 8 A.2 QA-SA-[ A.3 ]
HT112,TU-PA,1,1,0,0,0,0,0,physical_boundary,N A.1 OVIS F [ A.2 ]TU-PA-[ A.3 ] VEST. [ INF
HT113,RA-RI-DE,1,1,0,0,0,0,0,physical_boundary,NUMBER FRACTION .1 RA-RI-DE[ .2-3 ]WI-SA • [ ]
HT113,WI-SA,1,1,0,0,0,0,0,physical_boundary,.1 RA-RI-DE[ .2-3 ]WI-SA • [ ] 2 [ ] .3 O 2
HT114,SA-VINA,1,0,0,0,1,0,0,complex_logogram,SA VINA {*522}
HT115,*301-U-RA,1,1,0,0,0,0,0,physical_boundary,A-MA-NU-WI 2 A.2 [[ *301-U-RA]] A.2-3 NA-QI F-NE-
